"Fon Kodu","Fon Adı","Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"ZGD","ZİRAAT PORTFÖY ALTIN KATILIM  BORSA YATIRIM FONU","Altın Fonu","9,3522","36,5987","31,9424","36,0606","62,9173","373,6287","-"
"FGA","QNB PORTFÖY ALTIN KATILIM BORSA YATIRIM FONU","Altın Fonu","12,7936","36,4486","35,9911","39,3130","61,1479","353,6416","988,5774"
"FGS","QNB PORTFÖY GÜMÜŞ KATILIM BORSA YATIRIM FONU","Gümüş Fonu","-0,7675","17,8669","9,8089","24,8974","37,6264","224,8744","934,4000"
"FUS","QNB PORTFÖY AMERİKAN DOLARI YABANCI BORSA YATIRIM FONU","Yabancı Fon","-2,3484","7,0659","11,1940","7,9059","16,5960","154,9733","432,5391"
"ZKP","ZİRAAT PORTFÖY KATILIM 30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","0,3169","3,7131","13,5512","1,1001","5,1292","295,8044","-"
"ZKE","ZİRAAT PORTFÖY KATILIM 30 EŞİT AĞIRLIKLI ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","6,0508","1,8614","13,8992","0,2239","1,5883","235,4905","-"
"OHY","OSMANLI PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","3,8402","-7,0163","8,2053","-4,6652","0,9046","-","-"
"ZRE","ZİRAAT PORTFÖY RİSK EŞİT BANKA DIŞI 20 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","6,1740","0,1765","11,3837","1,4298","0,5760","217,6602","-"
"ZEA","ZİRAAT PORTFÖY BIST 30 EŞİT AĞIRLIKLI ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","1,7487","-5,4064","6,7406","-4,0276","-0,9501","258,0424","-"
"ZBB","ZİRAAT PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","3,2308","-7,2564","6,2970","-4,9575","-1,0689","282,3362","918,9825"
"BOE","AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","3,3736","-7,1108","7,1213","-4,9042","-1,3514","-","-"
"ZPP","ZİRAAT PORTFÖY BIST BANKA DIŞI LİKİT 10 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","7,0972","-0,0331","8,7176","2,2358","-2,5509","248,7405","940,6897"
"BND","AK PORTFÖY BIST BANKA DIŞI LİKİT 10 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","7,0549","-0,3965","8,1818","1,8468","-3,1277","-","-"
"ZTM","ZİRAAT PORTFÖY BIST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","0,4482","-13,7207","2,7940","-13,1431","-3,1434","274,8479","-"
"ZSR","ZİRAAT PORTFÖY BIST SÜRDÜRÜLEBİLİRLİK 25 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","1,0201","-10,6616","1,5853","-9,6739","-4,1642","-","-"
"ZPT","ZİRAAT PORTFÖY YILDIZ PAZAR TEKNOLOJİ VE İLETİŞİM 10 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","7,4253","9,3859","17,1943","10,4416","-4,8866","266,4241","-"
"ZEO","ZİRAAT PORTFÖY BIST 50-30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-1,6216","0,8414","14,4921","-0,0813","-6,0421","287,0815","-"
"BLH","AK PORTFÖY BIST LİKİT BANKA ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-4,6330","-24,2714","-0,0945","-20,3518","-9,9176","-","-"
"ZBP","ZİRAAT PORTFÖY BIST LİKİT BANKA ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-5,1227","-24,5545","-0,5593","-18,1902","-10,2020","484,6120","1.038,7703"
"DJA","QNB PORTFÖY QNB TEMİZ ENERJİ ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Fonu","8,2439","-14,7447","1,1231","-12,5564","-31,8096","184,5372","657,5120"
"KHO","AK PORTFÖY KATILIM 30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","-","-","-","-","-"
"ILK","İŞ PORTFÖY ALTIN KATILIM BORSA YATIRIM FONU","Altın Fonu","7,9024","26,2197","26,0399","23,1283","-","-","-"
"OPE","OSMANLI PORTFÖY BIST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ YOĞUN (TL) BORSA YATIRIM FONU","Hisse Senedi Yoğun","-5,6477","-12,8708","2,6494","-12,3466","-","-","-"
"OPK","OSMANLI PORTFÖY KAR PAYI ÖDEYEN BIST GYO ENDEKSİ HİSSE SENEDİ YOĞUN (TL) BORSA YATIRIM FONU","Hisse Senedi Yoğun","7,4101","-","-","-","-","-","-"
"OHS","OSMANLI PORTFÖY KATILIM 30 ENDEKSİ HİSSE SENEDİ YOĞUN (TL) BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","-","-","-","-","-"