"Fon Kodu","Fon Adı","Fon Türü","Uygulanan Yönetim Ücreti Yıllık (%)","Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%)","Yıllık Net Getiri Oranı (%)","Yıllık Azami Fon Toplam Gider Oranı (%)"
"BLH","AK PORTFÖY BIST LİKİT BANKA ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","-7.58","-"
"BND","AK PORTFÖY BIST BANKA DIŞI LİKİT 10 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","-2.74","-"
"BOE","AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","-0.92","-"
"DJA","QNB PORTFÖY QNB TEMİZ ENERJİ ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Fonu","-","-","-33.29","-"
"FGA","QNB PORTFÖY ALTIN KATILIM BORSA YATIRIM FONU","Altın Fonu","-","-","64.79","2.19"
"FGS","QNB PORTFÖY GÜMÜŞ KATILIM BORSA YATIRIM FONU","Gümüş Fonu","-","-","42.9","2.19"
"FUS","QNB PORTFÖY AMERİKAN DOLARI YABANCI BORSA YATIRIM FONU","Yabancı Fon","-","-","17.05","2.19"
"ILK","İŞ PORTFÖY ALTIN KATILIM BORSA YATIRIM FONU","Altın Fonu","-","-","0","-"
"KHO","AK PORTFÖY KATILIM 30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","0","-"
"OHS","OSMANLI PORTFÖY KATILIM 30 ENDEKSİ HİSSE SENEDİ YOĞUN (TL) BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","0","-"
"OHY","OSMANLI PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","1.44","-"
"OPE","OSMANLI PORTFÖY BIST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ YOĞUN (TL) BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","0","-"
"OPK","OSMANLI PORTFÖY KAR PAYI ÖDEYEN BIST GYO ENDEKSİ HİSSE SENEDİ YOĞUN (TL) BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","0","-"
"ZBB","ZİRAAT PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","-0.67","2.19"
"ZBP","ZİRAAT PORTFÖY BIST LİKİT BANKA ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","-7.71","2.19"
"ZEA","ZİRAAT PORTFÖY BIST 30 EŞİT AĞIRLIKLI ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","-0.48","2.19"
"ZEO","ZİRAAT PORTFÖY BIST 50-30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","-4.83","2.19"
"ZGD","ZİRAAT PORTFÖY ALTIN KATILIM  BORSA YATIRIM FONU","Altın Fonu","-","-","67.29","2.19"
"ZKE","ZİRAAT PORTFÖY KATILIM 30 EŞİT AĞIRLIKLI ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","-0.2","2.19"
"ZKP","ZİRAAT PORTFÖY KATILIM 30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","4.87","2.19"
"ZPP","ZİRAAT PORTFÖY BIST BANKA DIŞI LİKİT 10 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","-2.13","2.19"
"ZPT","ZİRAAT PORTFÖY YILDIZ PAZAR TEKNOLOJİ VE İLETİŞİM 10 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","-6.76","2.19"
"ZRE","ZİRAAT PORTFÖY RİSK EŞİT BANKA DIŞI 20 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","0.18","2.19"
"ZSR","ZİRAAT PORTFÖY BIST SÜRDÜRÜLEBİLİRLİK 25 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","-5.25","2.19"
"ZTM","ZİRAAT PORTFÖY BIST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","-","-","-2.08","-"